Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,994045,10520,7,,7,7118,75,0,,0
China,Western Pacific,99381255,6755,22,,22,122377,8,0,,0
French Guiana,,98041,32825,,,,413,138,,,
Latvia,Europe,977765,51254,0,,0,7475,392,0,,0
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Niger,Africa,9528,39,0,,0,315,1,0,,0
Comoros,Africa,9109,1047,,,,160,18,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Senegal,Africa,89316,533,1,,1,1972,12,0,,0
Malawi,Africa,89168,466,,,,2686,14,,,
Kyrgyzstan,Europe,88953,1363,0,,0,1024,16,0,,0
C�te d'Ivoire,Africa,88455,335,,,,835,3,,,
Netherlands (Kingdom of the),Europe,8642356,49647,263,2,263,22986,132,0,,0
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
Azerbaijan,Europe,836492,8250,3,,3,10353,102,0,,0
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Suriname,Americas,82504,14064,0,,0,1406,240,0,,0
New Caledonia,Western Pacific,80203,28092,,,,314,110,,,
Tokelau,Western Pacific,80,5926,,,,0,,,,
Sierra Leone,Africa,7985,100,0,,0,125,2,0,,0
French Polynesia,Western Pacific,79451,28284,,,,650,231,,,
Liberia,Africa,7932,157,,,,294,6,,,
Chad,Africa,7702,47,,,,194,1,,,
British Virgin Islands,Americas,7628,25227,,,,64,212,,,
Iran (Islamic Republic of),Eastern Mediterranean,7627863,9082,,,,146837,175,,,
Mexico,Americas,7622418,5912,7,,7,334802,260,0,,0
Eswatini,Africa,75356,6495,,,,1427,123,,,
Guyana,Americas,74491,9471,,,,1302,166,,,
Cook Islands,Western Pacific,7375,41989,,,,2,11,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Belize,Americas,71430,17964,0,,0,688,173,0,,0
International conveyance (Diamond Princess),Other,712,,,,,13,,,,
Cyprus,Europe,709151,79859,280,32,280,1497,169,0,,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785,,,,5708,112,,,
Global,,7.76947555E8,4810742.0,46950.0,289.0,46950.0,7076993.0,29486.0,472.0,,472.0
Bahrain,Eastern Mediterranean,696614,40939,,,,1536,90,,,
Fiji,Western Pacific,69047,7702,,,,885,99,,,
Madagascar,Africa,68582,248,,,,1428,5,,,
Indonesia,South-East Asia,6829885,2497,49,,49,162059,59,0,,0
Turks and Caicos Islands,Americas,6826,17630,0,,0,40,103,0,,0
Sao Tome and Principe,Africa,6771,3090,,,,80,37,,,
Poland,Europe,6764415,17821,1189,3,1189,120947,319,9,,9
Sri Lanka,South-East Asia,672809,3142,,,,16907,79,,,
Kuwait,Eastern Mediterranean,667290,15625,,,,2570,60,,,
Jersey,,66391,61589,,,,161,149,,,
Dominican Republic,Americas,661103,6094,,,,4384,40,,,
Saint Kitts and Nevis,Americas,6607,12421,,,,46,86,,,
Republic of Moldova,Europe,650766,16132,30,1,30,12282,304,0,,0
Cabo Verde,Africa,64474,11596,,,,417,75,,,
Myanmar,South-East Asia,643234,1182,2,,2,19494,36,0,,0
Sudan,Eastern Mediterranean,63993,146,,,,5046,12,,,
Colombia,Americas,6394548,12567,40,,40,142727,281,0,,0
Mauritania,Africa,63879,1374,0,,0,997,21,0,,0
Palau,Western Pacific,6372,35220,,,,10,55,,,
Bhutan,South-East Asia,62697,8125,,,,21,3,,,
Estonia,Europe,612991,46125,112,8,112,2998,226,0,,0
Austria,Europe,6082948,68340,26,,26,22534,253,0,,0
Syrian Arab Republic,Eastern Mediterranean,57423,328,,,,3163,18,,,
Greece,Europe,5739492,53547,2926,27,2926,39737,371,28,,28
Portugal,Europe,5670012,55071,106,1,106,29065,282,3,,3
Ukraine,Europe,5541204,12670,74,,74,109925,251,1,,1
Venezuela (Bolivarian Republic of),Americas,552695,1944,,,,5856,21,,,
Saint Barth�lemy,,5507,55711,,,,5,51,,,
Burundi,Africa,54569,459,,,,15,,,,
Chile,Americas,5406337,28281,678,4,678,62803,329,6,,6
Nauru,Western Pacific,5393,49778,,,,1,9,,,
Malaysia,Western Pacific,5322678,16445,1248,4,1248,37351,115,0,,0
Guam,Western Pacific,52287,30980,,,,419,248,,,
Seychelles,Africa,51892,52764,,,,172,175,,,
Egypt,Eastern Mediterranean,516023,504,,,,24830,24,,,
Qatar,Eastern Mediterranean,514524,17859,,,,690,24,,,
Kiribati,Western Pacific,5085,4257,,,,24,20,,,
Libya,Eastern Mediterranean,507269,7382,,,,6437,94,,,
Ethiopia,Africa,501258,436,9,,9,7574,7,0,,0
International conveyance (Solomon Islands),Other,5,,,,,0,,,,
R�union,,494595,55243,,,,921,103,,,
Gabon,Africa,49056,2204,,,,307,14,,,
Belgium,Europe,4891470,42452,520,5,520,34339,298,0,,0
Israel,Europe,4841558,55936,0,,0,12707,147,0,,0
Czechia,Europe,4819743,45070,1629,15,1629,43733,409,9,,9
Canada,Americas,4819055,12768,,,,55282,146,,,
Thailand,South-East Asia,4805764,6885,510,1,510,34736,50,0,,0
Andorra,Europe,48015,62143,,,,159,206,,,
Honduras,Americas,472910,4775,0,,0,11114,112,0,,0
Papua New Guinea,Western Pacific,46864,524,,,,670,7,,,
Cura�ao,Americas,45883,27962,,,,305,186,,,
Armenia,Europe,453040,15289,0,,0,8779,296,0,,0
Peru,Americas,4526977,13730,,,,220975,670,,,
India,South-East Asia,45044456,3264,48,,48,533657,39,1,,1
Switzerland,Europe,4471726,51669,869,10,869,14170,164,0,,0
Aruba,Americas,44224,41421,,,,292,273,,,
United Republic of Tanzania,Africa,43312,73,,,,846,1,,,
Mayotte,,42027,15405,,,,187,69,,,
Philippines,Western Pacific,4140383,3778,,,,66864,61,,,
South Africa,Africa,4072837,6867,5,,5,102595,173,0,,0
Bosnia and Herzegovina,Europe,403997,12314,0,,0,16403,500,0,,0
International conveyance (American Samoa),Other,4,,,,,0,,,,
Pitcairn,,4,8000,,,,0,,,,
Oman,Eastern Mediterranean,399449,7822,,,,4628,91,,,
Luxembourg,Europe,396416,63314,72,11,72,1000,160,0,,0
Togo,Africa,39537,478,0,,0,290,4,0,,0
Bahamas,Americas,39127,9950,,,,849,216,,,
Anguilla,Americas,3904,26023,,,,12,80,,,
France,Europe,39028437,60007,467,1,467,168118,258,4,,4
Guinea,Africa,38582,294,,,,468,4,,,
Germany,Europe,38437756,46218,0,,0,174979,210,0,,0
Isle of Man,,38008,44698,,,,116,136,,,
Wallis and Futuna,Western Pacific,3760,33434,,,,9,80,,,
Brazil,Americas,37511921,17648,,,,702116,330,,,
Lesotho,Africa,36138,1687,,,,709,33,,,
Romania,Europe,3566976,18454,162,1,162,68941,357,1,,1
Guernsey,,35326,54796,,,,67,104,,,
North Macedonia,Europe,352059,16898,4,,4,9990,480,0,,0
Zambia,Africa,349892,1903,,,,4078,22,,,
Brunei Darussalam,Western Pacific,349610,79915,93,21,93,181,41,0,,0
Faroe Islands,,34658,70926,,,,28,57,,,
Haiti,Americas,34597,303,0,,0,860,8,0,,0
Republic of Korea,Western Pacific,34571873,67432,,,,35934,70,,,
Denmark,Europe,3444007,59147,222,4,222,10012,172,2,,2
Kenya,Africa,344113,640,,,,5689,11,,,
Saint Pierre and Miquelon,,3426,59120,,,,2,35,,,
Japan,Western Pacific,33803572,26727,,,,74694,59,,,
Albania,Europe,337196,11717,0,,0,3608,125,0,,0
Mali,Africa,33180,164,,,,743,4,,,
Botswana,Africa,330696,14062,,,,2801,119,,,
Mauritius,Africa,329294,25893,19,1,19,1074,84,0,,0
Micronesia (Federated States of),Western Pacific,31765,27616,,,,62,54,,,
Cayman Islands,Americas,31472,47888,,,,37,56,,,
Saint Lucia,Americas,30231,16463,0,,0,410,223,0,,0
Singapore,Western Pacific,3006155,51384,,,,2024,35,,,
Tuvalu,Western Pacific,2943,24958,,,,1,8,,,
International commercial vessel,Other,29,,,,,0,,,,
Benin,Africa,28036,231,,,,163,1,,,
Sweden,Europe,2767701,26799,549,5,549,28184,273,45,,45
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Europe,274279,15274,,,,3212,179,,,
Somalia,Eastern Mediterranean,27334,172,,,,1361,9,,,
Algeria,Africa,272175,621,2,,2,6881,16,0,,0
Italy,Europe,26826486,44980,0,,0,197542,331,0,,0
Nigeria,Africa,267189,130,,,,3155,2,,,
Zimbabwe,Africa,266396,1792,,,,5740,39,,,
New Zealand,Western Pacific,2656962,55098,1129,23,1129,4470,93,2,,2
Holy See,,26,3214,,,,0,,,,
Solomon Islands,Western Pacific,25954,3779,,,,199,29,,,
Serbia,Europe,2583470,37297,,,,18057,261,,,
United States Virgin Islands,Americas,25389,24313,,,,132,126,,,
San Marino,Europe,25292,74524,,,,126,371,,,
Congo,Africa,25234,457,,,,389,7,,,
Montenegro,Europe,251280,40009,0,,0,2654,423,0,,0
United Kingdom of Great Britain and Northern Ireland,Europe,25016835,36851,1382,2,1382,232112,342,0,,0
Russian Federation,Europe,24673386,16907,28958,20,28958,403767,277,49,,49
Iraq,Eastern Mediterranean,2465545,6130,,,,25375,63,,,
Afghanistan,Eastern Mediterranean,235214,604,,,,7998,21,,,
Timor-Leste,South-East Asia,23460,1779,,,,138,10,,,
Mozambique,Africa,233845,748,,,,2252,7,,,
Martinique,,230354,61384,,,,1104,294,,,
Hungary,Europe,2236942,22897,154,2,154,49104,503,1,,1
Burkina Faso,Africa,22160,106,,,,400,2,,,
Lao People's Democratic Republic,Western Pacific,219060,3011,,,,671,9,,,
Saint Helena,,2166,35678,,,,0,,,,
Liechtenstein,,21609,55769,3,8,3,89,230,0,,0
Iceland,Europe,210710,57866,6,2,6,186,51,0,,0
Gibraltar,,20550,60996,,,,113,335,,,
Bangladesh,South-East Asia,2051504,1246,10,,10,29499,18,0,,0
Guadeloupe,,203235,50793,,,,1021,255,,,
El Salvador,Americas,201965,3114,1,,1,4230,65,0,,0
International conveyance (Kiribati),Other,2,,,,,0,,,,
Grenada,Americas,19693,17501,,,,238,212,,,
Falkland Islands (Malvinas),,1923,55211,,,,0,,,,
Trinidad and Tobago,Americas,191496,13683,,,,4390,314,,,
Bermuda,Americas,18860,30286,,,,165,265,,,
South Sudan,Africa,18855,168,,,,147,1,,,
Slovakia,Europe,1884915,34536,175,3,175,21259,390,2,,2
Maldives,South-East Asia,186694,34538,,,,316,58,,,
Georgia,Europe,1864383,46736,0,,0,17151,430,0,,0
Tajikistan,Europe,17786,186,0,,0,125,1,0,,0
Ireland,Europe,1751345,35278,127,3,127,9905,200,1,,1
Uzbekistan,Europe,175081,523,0,,0,1016,3,0,,0
Jordan,Eastern Mediterranean,1746997,17122,,,,14122,138,,,
Namibia,Africa,172556,6791,,,,4110,162,,,
Ghana,Africa,172324,555,10,,10,1463,5,0,,0
Uganda,Africa,172159,376,,,,3632,8,,,
Monaco,Europe,17181,43780,,,,67,171,,,
Equatorial Guinea,Africa,17130,1221,,,,183,13,,,
Samoa,Western Pacific,17057,8597,,,,31,16,,,
T�rkiye,Europe,17004716,20162,0,,0,101419,120,0,,0
Tonga,Western Pacific,16992,16076,,,,13,12,,,
Marshall Islands,Western Pacific,16297,27532,,,,17,29,,,
Nicaragua,Americas,16196,244,2,,2,245,4,0,,0
Dominica,Americas,16047,22290,,,,74,103,,,
Pakistan,Eastern Mediterranean,1580631,716,,,,30656,14,,,
Jamaica,Americas,157337,5313,2,,2,3619,122,0,,0
Djibouti,Eastern Mediterranean,15690,1588,,,,189,19,,,
Central African Republic,Africa,15443,320,,,,113,2,,,
Norway,Europe,1527998,28467,883,16,883,5732,107,0,,0
Kazakhstan,Europe,1504370,8012,0,,0,19072,102,0,,0
Finland,Europe,1499712,27143,0,,0,11466,208,0,,0
Northern Mariana Islands,Western Pacific,14985,26035,,,,41,71,,,
Lithuania,Europe,1416572,50699,657,24,657,9858,353,3,,3
Montserrat,Americas,1403,28066,,,,8,160,,,
Spain,Europe,13980340,29536,0,,0,121852,257,0,,0
Cambodia,Western Pacific,139325,833,,,,3056,18,,,
Slovenia,Europe,1360429,64910,158,8,158,9914,473,0,,0
Croatia,Europe,1351277,33298,520,13,520,18779,463,2,,2
Bulgaria,Europe,1338671,19257,161,2,161,38764,558,2,,2
Rwanda,Africa,133266,1029,,,,1468,11,,,
Morocco,Eastern Mediterranean,1279115,3465,,,,16305,44,,,
Gambia,Africa,12627,522,,,,372,15,,,
Cameroon,Africa,125279,472,,,,1974,7,,,
Puerto Rico,Americas,1252713,43788,,,,5938,208,,,
Guatemala,Americas,1250394,6979,0,,0,20203,113,0,,0
Lebanon,Eastern Mediterranean,1239904,18166,,,,10947,160,,,
Costa Rica,Americas,1235781,24259,6,,6,9374,184,0,,0
Malta,Europe,123564,24013,12,2,12,1167,227,0,,0
Saint Martin (French part),,12324,31879,,,,46,119,,,
Bolivia (Plurinational State of),Americas,1212156,10384,,,,22387,192,,,
Vanuatu,Western Pacific,12019,3913,,,,14,5,,,
International conveyance (Vanuatu),Other,12,,,,,0,,,,
Greenland,Europe,11971,21086,,,,21,37,,,
Yemen,Eastern Mediterranean,11945,40,,,,2159,7,,,
"Bonaire, Saint Eustatius and Saba",Americas,11922,,,,,41,,,,
Australia,Western Pacific,11861161,46515,,,,25236,99,,,
Viet Nam,Western Pacific,11624000,11942,,,,43206,44,,,
Tunisia,Eastern Mediterranean,1153361,9759,,,,29423,249,,,
Cuba,Americas,1113662,9832,,,,8530,75,,,
Sint Maarten (Dutch part),Americas,11051,25771,,,,92,215,,,
Niue,Western Pacific,1092,67491,,,,0,,,,
Barbados,Americas,108836,37872,0,,0,593,206,0,,0
Ecuador,Americas,1078855,6115,11,,11,36055,204,0,,0
Angola,Africa,107487,327,5,,5,1937,6,0,,0
United Arab Emirates,Eastern Mediterranean,1067030,10789,,,,2349,24,,,
Panama,Americas,1044987,24219,,,,8756,203,,,
Uruguay,Americas,1042133,30000,87,3,87,7687,221,0,,0
United States of America,Americas,103436829,31250,,,,1208476,365,300,,300
Eritrea,Africa,10189,287,,,,103,3,,,
Mongolia,Western Pacific,1011489,30854,,,,2136,65,,,
Argentina,Americas,10109481,22368,248,1,248,130711,289,1,,1
Democratic Republic of the Congo,Africa,100984,113,0,,0,1474,2,0,,0
Nepal,South-East Asia,1003450,3444,,,,12031,41,,,
Democratic People's Republic of Korea,South-East Asia,0,,,,,0,,,,
Turkmenistan,Europe,0,,0,,0,0,,0,,0
